,IP,START_DATE,END_DATE,MOBILE,CONDITION,SYMBOL,INFORMATION,AREA_reside,CITY_reside,AREA_youth_haifa,AREA_work,CITY_reside_1,AREA_reside_haifa,AREA_work_haifa,AREA,AREA_names,TRUST_q1,TRUST_q2,TRUST_q3,TRUST_q4,TRUST_q5,TRUST_q6,TRUST_competence,TRUST_benevolence,TRUST_integrity,TRUST_INDEX,ELABORATION_q1,ELABORATION_q2,ELABORATION_q3,ELABORATION_q4,ELABORATION_q5,ELABORATION_q2.r,ELABORATION_q5.r,ELABORATION_INDEX,MEMORY_correct,MEMORY_incorrect,MEMORY_score,ELABORATION_time,TRUST_timer,ELABORATION_time_log,WASTE_TRUST_q1,WASTE_TRUST_q2,WASTE_TRUST_q3,WASTE_TRUST_q4,WASTE_TRUST_competence,WASTE_TRUST_benevolence,WASTE_TRUST_INDEX,WASTE_ELABORATION_time,WASTE_ELABORATION_time_log,IMC_item,IMC,RELEVANCE,ENVIRONMENT_INTEREST,ENVIRONMENT_FOLLOW,ENVIRONMENT_PREFERENCE,HAIFA_knowledge_q1.1,HAIFA_knowledge_q1.2,HAIFA_knowledge_q1.3,HAIFA_knowledge_q2,HAIFA_knowledge_q3,HAIFA_knowledge_1.1,HAIFA_knowledge_1.2,HAIFA_knowledge_1.3,HAIFA_knowledge_1_score,HAIFA_knowledge_2,HAIFA_knowledge_3,GOV_EVALUATION,GOV_TRUST,IDEOLOGY,AGE,EDUCATION,INCOME,HOME,GENDER,HEBREW,LOGO_memory_item,COLOR_memory_item,SVIVA_LOGO_memory,FAKE_LOGO_memory,SVIVA_COLOR_memory,FAKE_COLOR_memory,SVIVA_LOGO_recognize_test,SVIVA_LOGO_recognize,FAKE_LOGO_recognize,SVIVA_LOGO_affect,FAKE_LOGO_affect,TIMER_total,TIMER_total_filter,REPETITION_trust,REPETITION_elaboration,REPETITION_filter,TRUST_timer_filter
11,,24/05/2017 17:11,24/05/2017 17:18,1,B,1,1,2,HAIFA,1,2,HAIFA,1,1,1,1 Haifa,3,2,3,2,2,2,2.5,2.5,2,2.333333333,4,4,4,5,3,4,5,4.4,1,1,0,16.194,18.582,2.844560486,5,5,5,6,5,5.5,5.25,28.962,3.399929912,9,1,6,5,4,6,15,14,15,2,3,1,0,0,1,0,3,3,2,8,30,8,2,1,1,1,2,2,NA,1,NA,1,NA,NA,2,NA,4,7,0,0,0,0,0
12,,24/05/2017 17:12,24/05/2017 17:18,1,B,1,1,6,OTHER,1,6,OTHER,0,0,0,0 Shfela,5,5,5,5,5,4,5,5,4.5,4.833333333,4,2,4,4,2,6,6,4.8,3,0,3,22.375,50.922,3.151667075,5,5,5,5,5,5,5,23.841,3.212495514,9,1,4,5,2,5,15,13,15,3,2,1,0,0,1,0,2,2,2,5,23,7,1,2,1,1,1,1,NA,0,NA,0,NA,NA,1,NA,5,6,0,0,0,0,0
13,,24/05/2017 17:13,24/05/2017 17:19,1,C,0,1,2,QIRYAT HAIM,1,2,QRAYOT,1,1,1,1 Haifa,7,4,1,1,1,1,5.5,1,1,2.5,7,1,7,7,1,7,7,7,1,0,1,5.297,26.279,1.84007333,5,3,4,5,4,4.5,4.25,10.591,2.450228935,9,1,7,4,2,7,15,15,15,3,3,0,0,0,0,0,3,4,4,4,32,7,2,2,1,1,0,0,NA,NA,NA,NA,1,1,NA,4,NA,5,0,0,0,0,0
14,,24/05/2017 17:12,24/05/2017 17:19,0,F,0,0,2,HAIFA,1,3,HAIFA,1,0,1,1 Haifa,2,1,4,4,3,4,1.5,4,3.5,3,7,1,5,7,1,7,7,6.6,3,0,3,26.24,43.458,3.304686481,7,3,5,5,5,5,5,16.001,2.833272166,9,1,4,5,4,5,15,10,15,3,2,1,0,0,1,0,2,4,3,6,30,8,4,2,1,1,0,0,NA,NA,NA,NA,1,5,NA,6,NA,6,0,0,0,0,0
15,,24/05/2017 17:14,24/05/2017 17:19,1,A,2,1,1,OTHER,0,3,OTHER,0,0,0,0 Shfela,3,5,5,4,4,4,4,4.5,4,4.166666667,5,4,4,4,5,4,3,4,2,1,1,0,31.62,0,5,4,5,5,4.5,5,4.75,5.542,1.878242929,9,1,5,6,6,7,11,12,13,2,2,0,0,0,0,0,2,4,4,7,31,7,3,2,1,2,1,1,1,NA,1,NA,NA,2,NA,4,NA,5,0,0,0,0,0
16,,24/05/2017 17:11,24/05/2017 17:19,1,C,0,1,3,PETACH TIKVA,0,2,PETACH TIKVA,0,1,1,1 Haifa,4,5,6,6,5,4,4.5,6,4.5,5,5,1,1,4,1,7,7,4.8,3,0,3,26.341,36.829,3.308387407,6,6,7,6,6,6.5,6.25,21.289,3.104093283,9,1,4,6,4,6,15,13,15,1,3,1,0,0,1,1,3,3,3,6,24,7,3,2,1,1,0,0,NA,NA,NA,NA,1,6,NA,4,NA,8,0,0,0,0,0
17,,24/05/2017 17:14,24/05/2017 17:20,1,B,1,1,3,RISHON LEZION,0,4,RISHON LEZION,0,0,0,0 Shfela,4,4,2,3,7,6,4,2.5,6.5,4.333333333,7,1,7,7,1,7,7,7,2,2,0,3.031,24.327,1.394014484,6,5,5,5,5.5,5,5.25,4.194,1.647504113,9,1,1,6,6,5,0,0,14,3,3,0,0,0,0,0,3,4,6,9,35,7,2,2,0,1,3,1,NA,0,NA,0,NA,NA,5,NA,7,5,0,0,0,0,0
18,,24/05/2017 17:13,24/05/2017 17:20,1,E,1,0,3,NATANIA,0,6,NATANIA,0,0,0,0 Shfela,5,5,4,6,7,7,5,5,7,5.666666667,7,2,7,7,4,6,4,6.2,2,1,1,31.447,35.092,3.479607989,6,6,7,6,6,6.5,6.25,6.729,2.044979488,9,1,2,5,4,7,15,15,15,3,3,0,0,0,0,0,3,4,4,3,19,4,1,2,1,1,1,1,NA,0,NA,0,NA,NA,3,NA,4,7,0,0,0,0,0
19,,24/05/2017 17:12,24/05/2017 17:21,1,C,0,1,2,HAIFA,0,1,HAIFA,1,0,1,1 Haifa,2,4,4,4,3,3,3,4,3,3.333333333,7,1,6,6,1,7,7,6.6,3,0,3,39.027,28.316,3.689554226,5,3,5,4,4,4.5,4.25,49.336,3.918720527,9,1,7,6,5,5,15,11,14,3,3,1,0,1,2,0,3,2,2,3,27,7,5,1,1,1,0,0,NA,NA,NA,NA,1,6,NA,5,NA,8,0,0,0,0,0
20,,24/05/2017 17:13,24/05/2017 17:21,1,F,0,0,2,HAIFA,1,2,HAIFA,1,1,1,1 Haifa,1,3,2,4,5,3,2,3,4,3,2,6,1,2,6,2,2,1.8,0,2,0,3.371,43.232,1.474991816,2,5,3,3,3.5,3,3.25,18.543,2.972617166,9,1,5,5,3,2,15,11,12,2,3,1,0,1,2,0,3,1,1,4,23,6,5,2,1,1,0,0,NA,NA,NA,NA,1,7,NA,4,NA,7,0,0,0,0,0
21,,24/05/2017 17:13,24/05/2017 17:21,1,A,2,1,2,QIRYAT BIALIK,1,2,QRAYOT,1,1,1,1 Haifa,3,4,5,3,4,2,3.5,4,3,3.5,6,2,5,6,2,6,6,5.8,2,0,2,17.793,33.293,2.93348446,4,5,2,2,4.5,2,3.25,27.495,3.349728633,9,1,6,6,6,6,15,15,13,3,2,0,1,1,2,0,2,3,2,4,23,4,4,2,1,1,1,3,1,NA,0,NA,NA,4,NA,5,NA,7,0,0,0,0,0
22,,24/05/2017 17:15,24/05/2017 17:21,1,E,1,0,3,PETACH TIKVA,0,3,PETACH TIKVA,0,0,0,0 Shfela,2,1,3,2,2,2,1.5,2.5,2,2,5,3,5,4,1,5,7,5.2,2,0,2,25.558,34.854,3.279331021,7,7,7,7,7,7,7,24.897,3.254127132,9,1,3,4,3,4,15,15,15,3,2,0,0,0,0,0,2,4,3,8,29,5,3,2,1,2,3,2,NA,0,NA,1,NA,NA,1,NA,4,6,0,0,0,0,0
23,,24/05/2017 17:16,24/05/2017 17:21,0,F,0,0,2,HAIFA,1,2,HAIFA,1,1,1,1 Haifa,2,3,1,3,5,5,2.5,2,5,3.166666667,4,3,3,6,2,5,6,4.8,1,1,0,13.474,23.298,2.672353936,6,7,6,5,6.5,5.5,6,12.403,2.595478562,9,1,6,6,3,6,15,14,15,3,3,1,0,0,1,0,3,4,2,3,21,5,4,2,1,1,0,0,NA,NA,NA,NA,0,1,NA,3,NA,5,0,0,0,0,0
24,,24/05/2017 17:12,24/05/2017 17:22,1,A,2,1,2,HAIFA,0,2,HAIFA,1,1,1,1 Haifa,2,4,5,2,3,1,3,3.5,2,2.833333333,6,1,6,6,1,7,7,6.4,3,0,3,120.554,31.54,4.800358608,5,5,5,5,5,5,5,60.356,4.116692966,9,1,5,3,2,4,15,11,13,1,3,1,0,1,2,1,3,4,4,4,30,7,3,2,0,1,1,1,1,NA,1,NA,NA,5,NA,5,NA,9,0,0,0,0,0
25,,24/05/2017 17:12,24/05/2017 17:22,1,D,2,0,3,NATANIA,0,3,NATANIA,0,0,0,0 Shfela,1,5,4,3,3,4,3,3.5,3.5,3.333333333,7,1,7,7,2,7,6,6.8,3,0,3,28.237,34.441,3.37543503,4,7,4,4,5.5,4,4.75,34.821,3.578534314,9,1,3,2,2,4,15,15,15,3,2,0,0,0,0,0,2,4,3,1,23,4,2,2,1,1,1,1,1,NA,1,NA,NA,1,NA,7,NA,9,0,0,0,0,0
26,,24/05/2017 17:17,24/05/2017 17:22,1,C,0,1,1,HAIFA,1,2,HAIFA,1,1,1,1 Haifa,2,2,7,4,2,2,2,5.5,2,3.166666667,6,2,3,4,2,6,6,5,3,0,3,23.108,33.499,3.182543736,4,3,5,3,3.5,4,3.75,10.368,2.430802391,9,1,7,6,6,7,15,15,15,1,4,0,0,0,0,1,4,4,3,6,30,7,4,1,0,1,0,0,NA,NA,NA,NA,0,1,NA,4,NA,5,0,0,0,0,0
27,,24/05/2017 17:12,24/05/2017 17:22,0,E,1,0,2,QIRYAT MOZKIN,1,2,QRAYOT,1,1,1,1 Haifa,3,3,3,3,2,2,3,3,2,2.666666667,5,2,5,5,1,6,7,5.6,3,0,3,37.853,28.793,3.659785294,4,3,4,4,3.5,4,3.75,35.768,3.604627902,9,1,5,4,4,6,15,15,11,3,3,0,1,1,2,0,3,2,1,5,64,7,1,1,1,1,4,1,NA,0,NA,0,NA,NA,1,NA,5,10,0,0,0,0,0
28,,24/05/2017 17:14,24/05/2017 17:23,1,F,0,0,2,QIRYAT BIALIK,1,2,QRAYOT,1,1,1,1 Haifa,2,2,4,3,1,1,2,3.5,1,2.166666667,5,2,5,4,4,6,4,4.8,0,2,0,14.596,34.74,2.747014471,4,3,3,3,3.5,3,3.25,11.927,2.559318147,9,1,3,5,5,5,15,11,15,3,2,1,0,0,1,0,2,3,2,5,43,7,3,2,1,1,0,0,NA,NA,NA,NA,0,2,NA,4,NA,8,0,0,0,0,0
29,,24/05/2017 17:17,24/05/2017 17:23,0,D,2,0,2,HAIFA,1,2,HAIFA,1,1,1,1 Haifa,7,7,6,6,7,7,7,6,7,6.666666667,5,5,6,5,4,3,4,4.6,2,2,0,8.545,21.105,2.256017457,7,7,7,7,7,7,7,11.516,2.527007826,9,1,5,6,4,6,15,14,15,3,3,1,0,0,1,0,3,5,6,6,66,8,3,1,1,1,1,1,1,NA,1,NA,NA,5,NA,7,NA,5,0,0,0,0,0
30,,24/05/2017 17:18,24/05/2017 17:24,1,F,0,0,3,NATANIA,0,5,NATANIA,0,0,0,0 Shfela,7,3,7,4,1,1,5,5.5,1,3.833333333,6,4,4,7,2,4,6,5.4,0,1,0,7.247,33.677,2.109849498,7,6,6,6,6.5,6,6.25,8.298,2.229799323,9,1,1,5,4,7,15,13,15,3,1,1,0,0,1,0,1,2,2,3,34,7,2,2,0,1,0,0,NA,NA,NA,NA,1,7,NA,7,NA,5,0,0,0,0,0
31,,24/05/2017 17:17,24/05/2017 17:24,1,A,2,1,2,QIRYAT MOZKIN,1,1,QRAYOT,1,0,1,1 Haifa,3,3,4,5,4,3,3,4.5,3.5,3.666666667,5,3,3,3,4,5,4,4,1,0,1,7.325,40.444,2.119263036,5,4,4,5,4.5,4.5,4.5,22.417,3.153462254,9,1,6,4,3,5,15,12,12,3,1,1,0,1,2,0,1,4,3,6,28,7,4,2,1,1,3,1,0,NA,1,NA,NA,1,NA,4,NA,6,0,0,0,0,0
32,,24/05/2017 17:18,24/05/2017 17:24,0,F,0,0,3,NATANIA,0,3,NATANIA,0,0,0,0 Shfela,6,6,6,6,6,6,6,6,6,6,4,6,5,5,5,2,3,3.8,1,3,0,9.653,23.647,2.365841543,5,5,6,5,5,5.5,5.25,13.527,2.676008987,9,1,2,5,5,6,15,15,15,3,3,0,0,0,0,0,3,5,5,6,70,7,2,1,1,1,0,0,NA,NA,NA,NA,1,7,NA,5,NA,5,0,1,0,0,0
33,,24/05/2017 17:16,24/05/2017 17:24,1,B,1,1,3,PETACH TIKVA,0,3,PETACH TIKVA,0,0,0,0 Shfela,6,7,4,4,4,2,6.5,4,3,4.5,6,6,5,5,4,2,4,4.4,1,0,1,23.869,41.97,3.213622048,4,4,2,3,4,2.5,3.25,13.82,2.69597762,9,1,2,4,6,7,15,12,15,1,2,1,0,0,1,1,2,5,4,2,26,2,1,2,1,1,4,2,NA,0,NA,1,NA,NA,1,NA,4,7,0,0,0,0,0
34,,24/05/2017 17:16,24/05/2017 17:25,1,E,1,0,2,HAIFA,0,2,HAIFA,1,1,1,1 Haifa,3,6,7,4,5,4,4.5,5.5,4.5,4.833333333,5,2,6,5,2,6,6,5.6,3,0,3,50.389,35.052,3.939424142,7,7,7,7,7,7,7,31.684,3.486885662,9,1,6,5,4,4,15,13,13,2,2,1,0,1,2,0,2,4,3,6,26,7,2,2,1,1,4,1,NA,0,NA,0,NA,NA,1,NA,4,8,0,0,0,0,0
35,,24/05/2017 17:14,24/05/2017 17:25,1,B,1,1,2,QIRYAT ATA,1,1,QRAYOT,1,0,1,1 Haifa,7,4,3,4,4,1,5.5,3.5,2.5,3.833333333,7,1,3,5,2,7,6,5.6,2,0,2,13.494,65.825,2.673734771,7,5,4,5,6,4.5,5.25,13.737,2.690361338,9,1,7,7,7,7,15,14,15,3,4,1,0,0,1,0,4,3,1,5,24,4,3,2,1,1,2,2,NA,1,NA,1,NA,NA,4,NA,7,10,0,0,0,0,0
36,,24/05/2017 17:18,24/05/2017 17:25,1,B,1,1,3,PETACH TIKVA,0,3,PETACH TIKVA,0,0,0,0 Shfela,7,6,5,6,7,6,6.5,5.5,6.5,6.166666667,7,2,7,7,2,6,6,6.6,2,0,2,8.56,25.307,2.257587727,5,5,2,2,5,2,3.5,18.505,2.970670843,9,1,7,6,6,7,15,15,15,3,3,0,0,0,0,0,3,3,1,7,42,5,4,2,1,1,2,2,NA,1,NA,1,NA,NA,3,NA,7,7,0,0,0,0,0
37,,24/05/2017 17:20,24/05/2017 17:25,1,F,0,0,3,PETACH TIKVA,0,4,PETACH TIKVA,0,0,0,0 Shfela,4,5,5,5,6,6,4.5,5,6,5.166666667,4,6,5,4,4,2,4,3.8,0,0,0,3.836,25.076,1.576087933,4,5,4,4,4.5,4,4.25,6.919,2.069264935,9,1,3,5,4,4,15,10,15,3,2,1,0,0,1,0,2,5,4,4,32,8,4,1,1,1,0,0,NA,NA,NA,NA,1,1,NA,4,NA,4,0,0,0,0,0
38,,24/05/2017 17:13,24/05/2017 17:26,1,A,2,1,2,HAIFA,0,2,HAIFA,1,1,1,1 Haifa,7,1,1,1,2,1,4,1,1.5,2.166666667,3,3,2,4,2,5,6,4,2,0,2,60.135,29.351,4.113084534,7,1,2,1,4,1.5,2.75,58.305,4.082693619,9,1,6,5,3,7,15,15,15,3,2,0,0,0,0,0,2,1,1,3,28,6,1,2,1,1,1,3,1,NA,0,NA,NA,1,NA,6,NA,12,0,0,0,0,0
39,,24/05/2017 17:17,24/05/2017 17:26,1,D,2,0,2,QIRYAT MOZKIN,0,1,QRAYOT,1,0,1,1 Haifa,3,2,1,1,1,5,2.5,1,3,2.166666667,7,1,7,7,1,7,7,7,2,0,2,38.161,44.095,3.667681354,7,6,7,7,6.5,7,6.75,84.588,4.449545086,9,1,7,5,5,7,15,12,14,3,3,1,0,1,2,0,3,4,3,6,30,5,2,1,0,1,1,1,1,NA,1,NA,NA,7,NA,6,NA,9,0,0,0,0,0
40,,24/05/2017 17:13,24/05/2017 17:26,1,D,2,0,2,HAIFA,0,2,HAIFA,1,1,1,1 Haifa,4,2,4,3,3,1,3,3.5,2,2.833333333,4,4,5,5,5,4,3,4.2,2,0,2,39.674,55.486,3.705589068,4,2,7,6,3,6.5,4.75,45.362,3.836480158,9,1,7,7,7,7,15,15,15,3,3,0,0,0,0,0,3,4,4,2,36,7,1,2,1,2,1,2,1,NA,1,NA,NA,1,NA,2,NA,13,0,0,0,0,0
41,,24/05/2017 17:20,24/05/2017 17:27,0,E,1,0,2,QIRYAT HAIM,1,6,QRAYOT,1,0,1,1 Haifa,5,5,6,6,6,5,5,6,5.5,5.5,5,6,3,7,2,2,6,4.6,2,1,1,32.848,35.964,3.521879913,7,7,7,7,7,7,7,14.42,2.735665368,9,1,6,5,4,7,15,14,15,2,2,1,0,0,1,0,2,5,4,8,29,7,4,2,1,1,2,4,NA,1,NA,0,NA,NA,1,NA,5,6,0,0,0,0,0
42,,24/05/2017 17:21,24/05/2017 17:27,1,A,2,1,2,QIRYAT BIALIK,1,4,QRAYOT,1,0,1,1 Haifa,3,4,4,5,3,4,3.5,4.5,3.5,3.833333333,5,2,4,5,4,6,4,4.8,1,0,1,6.564,26.165,2.023400151,4,4,5,4,4,4.5,4.25,8.076,2.205633567,9,1,4,4,3,5,13,13,13,3,2,0,0,0,0,0,2,3,3,4,34,8,4,2,0,1,1,4,1,NA,0,NA,NA,2,NA,5,NA,5,0,0,0,0,0
43,,24/05/2017 17:21,24/05/2017 17:28,0,A,2,1,2,NESHER,0,2,NESHER,0,1,1,1 Haifa,1,1,1,1,1,1,1,1,1,1,5,1,5,5,6,7,2,4.8,0,0,0,10.027,34.06,2.400346811,1,1,3,3,1,3,2,27.765,3.35915937,9,1,7,4,4,7,15,15,15,3,2,0,0,0,0,0,2,1,1,6,58,5,2,1,1,2,2,4,0,NA,0,NA,NA,1,NA,4,NA,6,0,1,0,0,0
44,,24/05/2017 17:16,24/05/2017 17:28,0,A,2,1,2,HAIFA,0,2,HAIFA,1,1,1,1 Haifa,4,6,6,6,6,6,5,6,6,5.666666667,6,2,6,6,2,6,6,6,2,0,2,46.079,48.555,3.851827042,7,6,6,6,6.5,6,6.25,32.145,3.500891876,9,1,7,7,7,7,15,14,14,3,3,1,0,1,2,0,3,2,2,9,41,7,3,2,1,1,1,1,1,NA,1,NA,NA,1,NA,6,NA,12,0,0,0,0,0
45,,24/05/2017 17:13,24/05/2017 17:28,1,F,0,0,5,RISHON LEZION,0,5,RISHON LEZION,0,0,0,0 Shfela,5,3,3,4,3,2,4,3.5,2.5,3.333333333,4,4,2,3,4,4,4,3.4,1,0,1,291.219,42.738,5.677503521,4,2,2,2,3,2,2.5,24.489,3.238246987,9,1,1,5,4,6,15,13,15,3,2,1,0,0,1,0,2,3,3,3,23,6,4,2,1,1,0,0,NA,NA,NA,NA,1,3,NA,6,NA,15,0,0,0,0,0
46,,24/05/2017 17:22,24/05/2017 17:29,1,D,2,0,3,RISHON LEZION,0,4,RISHON LEZION,0,0,0,0 Shfela,2,4,3,4,3,3,3,3.5,3,3.166666667,3,6,2,3,4,2,4,2.8,1,0,1,7.785,21.288,2.173045722,5,5,5,4,5,4.5,4.75,9.409,2.342670817,9,1,2,5,3,3,15,10,12,3,2,1,0,1,2,0,2,3,2,8,37,6,4,2,0,1,1,1,1,NA,1,NA,NA,1,NA,5,NA,6,0,0,0,0,0
47,,24/05/2017 17:25,24/05/2017 17:29,1,D,2,0,3,PETACH TIKVA,0,3,PETACH TIKVA,0,0,0,0 Shfela,3,2,3,3,3,4,2.5,3,3.5,3,2,7,2,2,6,1,2,1.8,0,1,0,4.27,11.448,1.662030363,6,3,4,4,4.5,4,4.25,10.936,2.479559043,9,1,2,6,5,7,12,11,12,2,2,1,0,0,1,0,2,2,3,3,37,8,4,1,1,1,1,3,1,NA,0,NA,NA,2,NA,6,NA,4,0,0,0,0,0
48,,24/05/2017 17:19,24/05/2017 17:30,1,F,0,0,3,PETACH TIKVA,0,3,PETACH TIKVA,0,0,0,0 Shfela,4,4,5,4,5,3,4,4.5,4,4.166666667,7,1,6,6,1,7,7,6.6,3,0,3,32.885,33.359,3.522972439,6,5,7,6,5.5,6.5,6,38.678,3.680796878,9,1,4,6,4,6,15,15,15,3,2,0,0,0,0,0,2,6,5,7,48,4,1,2,1,1,0,0,NA,NA,NA,NA,1,4,NA,5,NA,10,0,0,0,0,0
