"","IP","USER_ID","START_DATE","END_DATE","TIMER_total","FINISHED","MOBILE","ENVIRONMENT_INTEREST","ENVIRONMENT_FOLLOW","ENVIRONMENT_PREFERENCE","GOV_EVALUATION","GOV_TRUST","IDEOLOGY","CHILDREN","CHILDREN_young","FACTORIES_relatives","AGE","EDUCATION","INCOME","HOME","GENDER","HEBREW","RELEVANCE_exp","SYMBOL","SYMBOL_bi","t1","AIR_order","WASTE_order","INFORMATION_air","INFORMATION_waste","CONDITION_air","CONDITION_waste","AREA_reside","CITY_reside_raw","CITY_reside_he","CITY_reside_en","AREA_work","CITY_reside_youth","AREA_reside_haifa","AREA_work_haifa","AREA","AREA_names","TRUST_air_q1","TRUST_air_q2","TRUST_air_q3","TRUST_air_q4","TRUST_air_q5","TRUST_air_q6","TRUST_air_competence","TRUST_air_benevolence","TRUST_air_integrity","TRUST_air_INDEX","TRUST_air_timer","TRUST_waste_q1","TRUST_waste_q2","TRUST_waste_q3","TRUST_waste_q4","TRUST_waste_q5","TRUST_waste_q6","TRUST_waste_competence","TRUST_waste_benevolence","TRUST_waste_integrity","TRUST_waste_INDEX","TRUST_waste_timer","IMC_item","IMC","ELABORATION_air_q1","ELABORATION_air_q2","ELABORATION_air_q3","ELABORATION_air_q4","ELABORATION_air_q5","ELABORATION_air_q2.r","ELABORATION_air_q5.r","ELABORATION_air_INDEX","ELABORATION_air_INDEX_01","ELABORATION_waste_q1","ELABORATION_waste_q2","ELABORATION_waste_q3","ELABORATION_waste_q4","ELABORATION_waste_q5","ELABORATION_waste_q2.r","ELABORATION_waste_q5.r","ELABORATION_waste_INDEX","ELABORATION_waste_INDEX_01","ELABORATION_air_time","ELABORATION_waste_time","ELABORATION_air_time_log","ELABORATION_waste_time_log","ELABORATION_total_time_log","MEMORY_air_correct","MEMORY_air_incorrect","MEMORY_air_score","MEMORY_waste_correct","MEMORY_waste_incorrect","MEMORY_waste_score","MEMORY_total","RELEVANCE_air_obs","RELEVANCE_waste_obs","RECOGNIZE_waste_real","RECOGNIZE_air_real","RECOGNIZE_SVIVA_logo","AFFECT_waste_real","AFFECT_air_real","AFFECT_waste_fake","AFFECT_air_fake","SYMBOL_n","INFORMATION_air_n","RELEVANCE_exp_n","INFORMATION_waste_n","REPETITION_elaboration","RELEVANCE_exp_treat_text","RELEVANCE_exp_control_text","WITHIN_DELTA"
"230","213.151.53.129",146186,2018-01-28 14:54:00,2018-01-28 15:00:00,6,1,0,NA,NA,NA,3,3,3,0,0,NA,21,4,1,2,1,1,0,"2",2,"   air d  ",1,2,0,1,"D","A",3," פתח תקווה","פתח תקווה","PETACH TIKVA",3,"פתח תקווה",0,0,0,"Center",2,3,3,3,4,4,2.5,3,4,3.16666666666667,22.516,3,3,2,3,3,4,3,2.5,3.5,3,27.335,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,3,4,5,3.8,4,6.497,3.836,2.01450294052092,1.57608793275255,2.42771882375081,NA,NA,NA,0,1,0,0,2,4,4,5,3,5,4,NA,NA,"2 Real symbols","0 weak policy","0 control","1 strong policy",0,"","יותר ביקוש בשוק",-0.166666666666667
"231","212.143.43.181",152140,2018-01-28 14:57:00,2018-01-28 15:02:00,5,1,0,4,5,4,3,3,2,1,1,0,31,4,4,1,1,1,1,"1",1,"    waste b ",2,1,0,1,"E","B",2,"קרית אתא ","קרית אתא","QIRYAT ATA",2,"קרית ביאליק",1,1,1,"Haifa-Bay",6,6,6,6,7,7,6,6,7,6.33333333333333,12.944,5,5,6,4,5,5,5,5,5,5,16.08,"09",1,5,2,5,3,3,6,5,4.8,5.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.489,6.186,1.87010843563903,1.97213468869133,2.53963154947725,1,1,0,NA,NA,NA,0,7,4,2,7,6,7,6,6,4,"1 fake symbols","0 weak policy","1 treatment","1 strong policy",0,"זיהום אוויר, בתי זיקוק וכדומה. ","",-1.33333333333333
"232","85.65.209.101",200943,2018-01-28 14:50:00,2018-01-28 15:02:00,12,1,1,NA,NA,NA,4,4,5,0,0,NA,28,7,2,2,1,1,0,"1",1," Mobile_waste e    ",2,1,1,0,"B","E",3," ראשון לציון","ראשון לציון","RISHON LEZION",3,"ראשון לציון",0,0,0,"Center",5,6,6,6,6,5,5.5,6,5.5,5.66666666666667,239.879,6,5,7,6,6,7,5.5,6.5,6.5,6.16666666666667,102.058,"009",1,1,7,2,7,6,1,2,2.6,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.334,35.528,2.59031716419587,3.59807908978744,3.88899999827061,2,0,2,NA,NA,NA,2,7,7,4,7,6,5,7,4,4,"1 fake symbols","1 strong policy","0 control","0 weak policy",0,"","תנאים טובים",-0.5
"233","46.19.86.76",211829,2018-01-28 14:50:00,2018-01-28 15:03:00,13,1,1,3,1,5,5,5,2,1,1,NA,22,4,1,2,1,1,1,"0",1,"  Mobile_air c   ",1,2,1,0,"C","F",3,"פתח תקווה ","פתח תקווה","PETACH TIKVA",3,"רעננה",0,0,0,"Center",7,7,7,7,7,5,7,7,6,6.66666666666667,29.342,2,5,4,5,5,6,3.5,4.5,5.5,4.5,35.338,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,7,7,1,1,2.2,1,19.437,140.867,3.0173469835264,4.95488999898062,5.08329078333577,NA,NA,NA,1,0,1,1,5,1,1,2,3,7,7,NA,NA,"0 no symbols","1 strong policy","1 treatment","0 weak policy",0,"לא ממחזרים מספיק","",2.16666666666667
"234","82.166.137.92",353652,2018-01-28 14:34:00,2018-01-28 15:03:00,29,1,1,5,4,7,1,2,5,1,1,NA,34,8,4,2,0,1,1,"0",1,"  Mobile_waste f   ",2,1,1,0,"C","F",1,"חיפה ","חיפה","HAIFA",3,"ירושלים",1,0,1,"Haifa-Bay",1,2,1,1,5,2,1.5,1,3.5,2,40.576,3,3,1,1,4,2,3,1,3,2.33333333333333,58.052,"009",1,1,5,2,5,5,3,3,2.8,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.843,31.304,3.17149067320627,3.47519106157048,4.01000234712111,1,0,1,NA,NA,NA,1,2,1,1,3,7,4,5,NA,NA,"0 no symbols","1 strong policy","1 treatment","0 weak policy",0,"זיהום אויר","",-0.333333333333333
"235","37.142.161.100",253644,2018-01-28 14:56:00,2018-01-28 15:03:00,7,1,1,5,5,5,3,2,0,1,0,NA,54,7,1,2,1,2,1,"0",1,"  Mobile_air f   ",1,2,0,1,"F","C",5,"ראשון לציון ","ראשון לציון","RISHON LEZION",5,"רוסיה",0,0,0,"Center",1,1,1,1,1,1,1,1,1,1,26.305,6,6,6,6,6,6,6,6,6,6,13.997,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,1,6,6,2,2,2.4,1.5,39.774,26.054,3.70804462337495,3.297834868667,4.20212215439553,NA,NA,NA,2,0,2,2,1,1,7,3,1,7,7,NA,NA,"0 no symbols","0 weak policy","1 treatment","1 strong policy",0,"הבנייה ","",5
"236","213.8.204.35",13108,2018-01-28 14:57:00,2018-01-28 15:03:00,6,1,1,NA,NA,NA,5,5,3,1,0,1,60,5,4,1,1,1,0,"2",2,"Mobile_waste a     ",2,1,0,1,"D","A",2," חיפה","חיפה","HAIFA",2,"חיפה",1,1,1,"Haifa-Bay",7,6,7,7,7,6,6.5,7,6.5,6.66666666666667,28.057,7,6,7,7,7,7,6.5,7,7,6.83333333333333,29.184,"009",1,1,5,7,5,5,3,3,3.8,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.111,11.43,1.81009042591278,2.52011290552262,2.86454099786164,1,2,0,NA,NA,NA,0,7,6,5,7,2,7,5,NA,NA,"2 Real symbols","0 weak policy","0 control","1 strong policy",0,"","משכורת גבוהה יותר, מספר תלמידים קטן יותר בכל כיתה",0.166666666666666
"237","93.172.100.8",178467,2018-01-28 14:54:00,2018-01-28 15:04:00,10,1,1,1,2,6,1,2,8,1,1,1,40,7,4,2,0,1,1,"0",1,"  Mobile_air c   ",1,2,1,0,"C","F",2,"קרית ביאליק ","קרית ביאליק","QIRYAT BIALIK",2,"איטליה",1,1,1,"Haifa-Bay",1,3,1,1,1,1,2,1,1,1.33333333333333,44.143,2,3,1,1,2,2,2.5,1,2,1.83333333333333,69.782,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,6,2,1,6,3,2.25,20.256,49.328,3.05663920845751,3.91856158226773,4.2568034899198,NA,NA,NA,2,0,2,2,3,1,1,1,1,6,5,NA,NA,"0 no symbols","1 strong policy","1 treatment","0 weak policy",0,"זבל שלא מפונה","",-0.5
"238","77.139.242.81",421355,2018-01-28 14:58:00,2018-01-28 15:04:00,6,1,1,5,3,7,1,1,4,1,1,NA,23,4,3,2,1,1,1,"1",1," Mobile_air e    ",1,2,0,1,"E","B",3,"פתח תקווה ","פתח תקווה","PETACH TIKVA",3,"פתח תקווה",0,0,0,"Center",3,2,2,2,3,2,2.5,2,2.5,2.33333333333333,26.357,4,3,2,2,4,3,3.5,2,3.5,3,23.563,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,2,7,6,1,2,2.6,1.5,9.996,7.941,2.397531570303,2.19064743975318,2.94111768028077,NA,NA,NA,2,0,2,2,1,3,1,1,7,6,5,4,4,"1 fake symbols","0 weak policy","1 treatment","1 strong policy",0,"זיהום אוויר","",0.666666666666667
"239","37.26.146.137",186942,2018-01-28 15:00:00,2018-01-28 15:04:00,4,1,1,NA,NA,NA,4,5,3,1,1,NA,36,7,4,1,0,1,0,"0",1,"  Mobile_air f   ",1,2,0,1,"F","C",3," נתניה","נתניה","NATANIA",3,"נתניה",0,0,0,"Center",7,5,6,6,6,6,6,6,6,6,23.239,4,4,4,4,4,4,4,4,4,4,10.844,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,7,7,1,1,2.2,1,7.064,4.08,2.08740971132901,1.62531126159039,2.49683522065327,NA,NA,NA,1,0,1,1,7,7,7,1,1,4,4,NA,NA,"0 no symbols","0 weak policy","0 control","1 strong policy",0,"","חינוך",-2
"240","2.53.189.62",227759,2018-01-28 14:57:00,2018-01-28 15:05:00,8,1,1,6,4,5,3,2,7,1,1,0,35,8,4,1,1,1,1,"0",1,"  Mobile_waste c   ",2,1,0,1,"F","C",2,"חיפה ","חיפה","HAIFA",2,"רמת ישי",1,1,1,"Haifa-Bay",2,2,2,1,2,6,2,1.5,4,2.5,24.86,2,3,5,2,2,3,2.5,3.5,2.5,2.83333333333333,49.525,"009",1,1,7,1,7,6,1,2,2.4,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.659,35.896,4.03705084511143,3.60810314408665,4.52780306241165,2,0,2,NA,NA,NA,2,7,2,7,3,4,4,5,NA,NA,"0 no symbols","0 weak policy","1 treatment","1 strong policy",0,"הזיהום!!!!","",0.333333333333333
"241","213.57.47.160",307045,2018-01-28 14:59:00,2018-01-28 15:05:00,6,1,1,NA,NA,NA,3,3,5,1,1,NA,26,2,1,2,1,2,0,"0",1,"  Mobile_air c   ",1,2,1,0,"C","F",3," ראשון לציון","ראשון לציון","RISHON LEZION",3,"ראשון לציון",0,0,0,"Center",4,4,4,4,4,4,4,4,4,4,31.897,3,4,4,4,5,4,3.5,4,4.5,4,16.872,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,6,3,4,5,2,3,2.6,2.25,6.482,10.366,2.01250013592595,2.43062644287493,2.88189145713023,NA,NA,NA,1,0,1,1,3,4,4,5,3,5,5,NA,NA,"0 no symbols","1 strong policy","0 control","0 weak policy",0,"","מאתגר",0
"242","93.172.124.185",353283,2018-01-28 14:47:00,2018-01-28 15:05:00,18,1,0,NA,NA,NA,4,4,2,1,0,1,56,7,2,1,1,2,0,"1",1,"    air e ",1,2,0,1,"E","B",2," קרית ביאליק","קרית ביאליק","QIRYAT BIALIK",1,"קרית ביאליק",1,0,1,"Haifa-Bay",5,5,5,5,5,5,5,5,5,5,96.852,5,5,5,5,5,5,5,5,5,5,22.782,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,5,5,1,2,7,4.8,4.75,132.398,73.807,4.89333714086539,4.31491146348953,5.3337086413683,NA,NA,NA,0,1,0,0,7,7,5,2,3,5,3,5,5,"1 fake symbols","0 weak policy","0 control","1 strong policy",0,"","לא יודעת",0
"243","77.138.67.107",230458,2018-01-28 14:58:00,2018-01-28 15:06:00,8,1,0,2,1,3,4,4,4,1,1,0,34,4,2,1,0,1,1,"2",2,"   air d  ",1,2,0,1,"D","A",2,"קריית מוצקין ","קרית מוצקין","QIRYAT MOZKIN",2,"נצרת עילית",1,1,1,"Haifa-Bay",4,3,3,3,3,3,3.5,3,3,3.16666666666667,34.227,4,4,4,4,4,4,4,4,4,4,17.671,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,5,3,6,5,5.4,5.5,37.027,34.596,3.63829643373786,3.57223327199462,4.28528167606654,NA,NA,NA,0,1,0,0,2,5,1,2,4,5,6,NA,NA,"2 Real symbols","0 weak policy","1 treatment","1 strong policy",0,"בתי הזיקוק","",0.833333333333333
"244","77.138.67.174",93058,2018-01-28 14:57:00,2018-01-28 15:07:00,10,1,0,NA,NA,NA,6,5,2,1,1,0,29,7,1,2,0,1,0,"0",1,"     air f",1,2,0,1,"F","C",2," קרית ים","קרית ים","QIRYAT YAM",2,"חיפה",1,1,1,"Haifa-Bay",2,2,2,2,2,4,2,2,3,2.33333333333333,46.185,4,3,3,3,2,4,3.5,3,3,3.16666666666667,24.764,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,5,6,1,6,7,6,6,50.798,41.496,3.94735153848144,3.74940995385397,4.53575579710373,NA,NA,NA,0,1,0,0,7,6,1,4,6,4,5,NA,NA,"0 no symbols","0 weak policy","0 control","1 strong policy",0,"","חשיפה גדולה יותר בבית הספר וחינוך לחשיבות ההיסטוריה",0.833333333333333
"245","79.183.124.174",102921,2018-01-28 14:57:00,2018-01-28 15:07:00,10,1,0,NA,NA,NA,5,4,4,1,0,NA,70,5,3,1,1,1,0,"1",1,"    air b ",1,2,1,0,"B","E",3," ראשל""צ","ראשון לציון","RISHON LEZION",3,"רחובות",0,0,0,"Center",5,6,5,6,4,4,5.5,5.5,4,5,43.289,4,5,6,5,4,5,4.5,5.5,4.5,4.83333333333333,25.14,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,6,7,6,1,2,7,5.8,5.75,9.222,8.357,2.32454226034609,2.23612472629378,2.92203191062403,NA,NA,NA,0,0,0,0,7,6,6,6,2,7,2,7,6,"1 fake symbols","1 strong policy","0 control","0 weak policy",0,"","אהבת האדם ,שליחות ציונות והקניית ידע נימוסים ודרך ארץ  לדור הצעיר",0.166666666666667
"246","176.12.141.160",394588,2018-01-28 15:01:00,2018-01-28 15:07:00,6,1,1,5,6,5,5,7,7,0,0,NA,21,4,5,2,1,1,1,"2",2,"Mobile_air d     ",1,2,0,1,"D","A",3,"ראשון לציון ","ראשון לציון","RISHON LEZION",3,"ראשון לציון",0,0,0,"Center",3,4,6,5,4,6,3.5,5.5,5,4.66666666666667,37.399,7,7,1,7,7,7,7,4,7,6,22.334,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,7,7,1,1,2.2,1,30.085,6.443,3.4367253877213,2.00727399337777,3.62508732102616,NA,NA,NA,2,0,2,2,1,7,1,7,7,7,1,NA,NA,"2 Real symbols","0 weak policy","1 treatment","1 strong policy",0,"הבנייה של מתחמי העסקים","",1.33333333333333
"247","62.219.151.159",34583,2018-01-28 14:41:00,2018-01-28 15:07:00,26,1,1,6,5,5,4,2,6,0,0,NA,25,7,3,2,1,1,1,"2",2,"Mobile_waste a     ",2,1,0,1,"D","A",3,"ראשון לציון ","ראשון לציון","RISHON LEZION",4,"ראשון לציון",0,0,0,"Center",4,5,5,4,5,3,4.5,4.5,4,4.33333333333333,22.431,5,5,5,5,5,3,5,5,4,4.66666666666667,28.47,"009",1,1,3,2,2,2,5,6,3.2,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.413,9.508,3.72359484120239,2.35213687182329,3.93027541214523,0,0,0,NA,NA,NA,0,3,6,3,7,7,5,5,NA,NA,"2 Real symbols","0 weak policy","1 treatment","1 strong policy",0,"אי מחזור בבתים, אי מודעות לצריכה מופחתחת ושימוש חוזר בדברים","",0.333333333333334
"248","80.178.122.66",154197,2018-01-28 15:02:00,2018-01-28 15:07:00,5,1,0,NA,NA,NA,4,4,5,0,0,NA,28,4,3,2,1,1,0,"1",1,"    air e ",1,2,0,1,"E","B",3," ראשון לציון ","ראשון לציון","RISHON LEZION",3,"ראשון לציון ",0,0,0,"Center",5,5,5,5,5,5,5,5,5,5,16.584,6,5,5,5,5,5,5.5,5,5,5.16666666666667,12.762,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,6,6,2,3,6,5.4,5.25,6.028,3.079,1.94990217032485,1.40585186033542,2.31322825309253,NA,NA,NA,0,1,0,0,5,5,5,5,6,6,5,7,5,"1 fake symbols","0 weak policy","0 control","1 strong policy",0,"","השכלה",0.166666666666667
"249","77.127.72.178",220505,2018-01-28 14:53:00,2018-01-28 15:07:00,14,1,0,NA,NA,NA,6,7,3,1,0,NA,55,8,3,1,1,2,0,"1",1,"    air b ",1,2,1,0,"B","E",1," קרית אתא","קרית אתא","QIRYAT ATA",1,"אוקריינה",1,0,1,"Haifa-Bay",4,5,5,4,5,6,4.5,4.5,5.5,4.83333333333333,56.7,6,6,6,5,6,6,6,5.5,6,5.83333333333333,25.991,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,4,7,3,1,2.8,2.5,8.236,6.725,2.22310889149225,2.04446182278381,2.77014824670042,NA,NA,NA,0,2,0,0,2,6,1,1,2,4,4,7,3,"1 fake symbols","1 strong policy","0 control","0 weak policy",0,"","לא יודעת",-1
"250","80.246.139.193",201040,2018-01-28 14:59:00,2018-01-28 15:08:00,9,1,1,3,2,5,4,4,4,1,0,0,69,4,1,1,1,2,1,"0",1,"  Mobile_waste f   ",2,1,1,0,"C","F",2,"שפרינצק ","חיפה","HAIFA",2,"מולדובה",1,1,1,"Haifa-Bay",7,7,7,7,7,7,7,7,7,7,20.335,7,7,7,5,6,7,7,6,6.5,6.5,48.176,"009",1,1,6,6,5,7,2,1,3,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.981,12.491,3.21811553592179,2.60202279645668,3.62359398741531,2,0,2,NA,NA,NA,2,7,7,1,1,1,5,4,NA,NA,"0 no symbols","1 strong policy","1 treatment","0 weak policy",0,"אין","",0.5
"251","5.29.201.162",402909,2018-01-28 15:01:00,2018-01-28 15:08:00,7,1,0,3,3,5,5,5,3,0,0,0,24,4,3,2,1,1,1,"0",1,"     air c",1,2,1,0,"C","F",2,"חיפה ","חיפה","HAIFA",2,"חיפה",1,1,1,"Haifa-Bay",5,4,5,6,6,4,4.5,5.5,5,5,35.116,4,4,5,6,5,5,4,5.5,5,4.83333333333333,21.004,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,1,1,3,3,5,2.8,3.25,17.335,10.026,2.90881180152329,2.40025612016749,3.34501496197316,NA,NA,NA,0,1,0,0,4,5,1,3,1,7,5,NA,NA,"0 no symbols","1 strong policy","1 treatment","0 weak policy",0,"מפעלי הזיקוק שגורמים לזיהום אוויר כבד באיזור הקריות, / המון כבישים בחיפה הרוסים- מלאי בורות. / ","",0.166666666666667
"252","2.53.184.142",146271,2018-01-28 15:00:00,2018-01-28 15:08:00,8,1,1,6,7,7,5,5,5,1,1,NA,33,7,2,1,1,2,1,"2",2,"Mobile_waste a     ",2,1,0,1,"D","A",3,"ראשון לציון ","ראשון לציון","RISHON LEZION",3,"אשקלון",0,0,0,"Center",6,6,7,6,7,6,6,6.5,6.5,6.33333333333333,32.157,6,5,5,5,6,6,5.5,5,6,5.5,70.897,"009",1,1,5,7,5,6,3,2,3.6,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.448,20.403,3.56806683389719,3.06353109911843,4.02268743045787,2,0,2,NA,NA,NA,2,3,7,7,7,4,7,7,NA,NA,"2 Real symbols","0 weak policy","1 treatment","1 strong policy",0,".","",-0.833333333333333
"253","37.142.231.47",114027,2018-01-28 15:00:00,2018-01-28 15:08:00,8,1,0,NA,NA,NA,3,1,7,1,0,0,NA,8,NA,1,0,1,0,"2",2,"   air a  ",1,2,1,0,"A","D",2," חיפה","חיפה","HAIFA",2,"חיפה",1,1,1,"Haifa-Bay",6,4,4,5,5,4,5,4.5,4.5,4.66666666666667,42.13,2,2,2,2,2,2,2,2,2,2,26.293,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,6,1,7,7,6.4,6.5,13.852,29.668,2.69813453631483,3.42321976569665,3.79593852640734,NA,NA,NA,0,0,0,0,4,1,6,6,1,5,4,NA,NA,"2 Real symbols","1 strong policy","0 control","0 weak policy",0,"","עניין",2.66666666666667
"254","141.226.88.102",317479,2018-01-28 15:04:00,2018-01-28 15:09:00,5,1,1,5,5,7,3,3,7,1,1,NA,42,7,3,1,0,1,1,"1",1," Mobile_air b    ",1,2,1,0,"B","E",3,"פתח תקווה ","פתח תקווה","PETACH TIKVA",3,"חולון",0,0,0,"Center",5,4,5,5,4,4,4.5,5,4,4.5,22.793,5,4,5,5,5,5,4.5,5,5,4.83333333333333,15.092,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,4,4,3,4,3,2.75,2.657,2.427,1.29664313916724,1.23168524289247,1.80566237439705,NA,NA,NA,0,1,0,0,2,6,4,5,2,4,3,5,3,"1 fake symbols","1 strong policy","1 treatment","0 weak policy",0,"זיהום אוויר","",-0.333333333333333
"255","141.226.146.81",186984,2018-01-28 14:54:00,2018-01-28 15:09:00,15,1,1,NA,NA,NA,3,2,4,0,0,NA,24,6,1,2,1,1,0,"1",1," Mobile_air b    ",1,2,1,0,"B","E",8," באר שבע/נתניה","נתניה","NATANIA",8,"נתניה",0,0,0,"Center",5,5,3,5,3,5,5,4,4,4.33333333333333,34.185,4,3,5,5,5,6,3.5,5,5.5,4.66666666666667,26.374,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,5,6,1,2,2,1.25,25.655,28.342,3.28297675027472,3.37901993671745,4.00727863829027,NA,NA,NA,2,0,2,2,3,3,1,7,7,3,5,1,1,"1 fake symbols","1 strong policy","0 control","0 weak policy",0,"","עידוד למקצועות מדעיים מגיל צעיר כדי לא לפתח רתיעה מהתחום. פיתוח מיומנויות חשיבה והקניית כלים למחקר עוד בחטיבה-תיכון",-0.333333333333334
"256","2.55.31.42",218497,2018-01-28 14:48:00,2018-01-28 15:10:00,22,1,1,5,4,4,5,3,5,0,0,NA,19,4,3,2,1,1,1,"2",2,"Mobile_waste d     ",2,1,1,0,"A","D",3,"ראשון לציון ","ראשון לציון","RISHON LEZION",3,"ראשלצ",0,0,0,"Center",5,4,5,6,5,5,4.5,5.5,5,5,14.334,5,5,5,6,5,4,5,5.5,4.5,5,25.428,"009",1,1,4,5,3,4,4,4,3.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.754,434.555,1.558986368938,6.07662107993727,6.0852030379105,1,0,1,NA,NA,NA,1,3,4,4,4,1,6,6,NA,NA,"2 Real symbols","1 strong policy","1 treatment","0 weak policy",0,"זיהום","",0
"257","77.125.47.145",295922,2018-01-28 15:01:00,2018-01-28 15:11:00,10,1,0,6,5,5,3,2,5,1,1,NA,30,6,3,2,1,2,1,"2",2,"   air a  ",1,2,1,0,"A","D",3,"פתח תקווה ","פתח תקווה","PETACH TIKVA",3,"פתח תקווה",0,0,0,"Center",5,4,4,4,7,4,4.5,4,5.5,4.66666666666667,85.885,7,7,7,7,7,7,7,7,7,7,6.105,"90",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,1,7,1,1,1,1,17.086,5.55,2.89513815831829,1.87946504964716,3.16277097348343,NA,NA,NA,0,2,0,0,1,7,1,1,1,4,2,NA,NA,"2 Real symbols","1 strong policy","1 treatment","0 weak policy",0,"חתולי רחוב   ","",-2.33333333333333
"258","80.179.37.248",143072,2018-01-28 15:07:00,2018-01-28 15:13:00,6,1,0,5,4,5,3,3,3,0,0,1,32,7,4,2,0,2,1,"2",2,"   waste d  ",2,1,1,0,"A","D",2,"חיפה ","חיפה","HAIFA",3,"חיפה",1,0,1,"Haifa-Bay",4,5,5,5,5,4,4.5,5,4.5,4.66666666666667,20.729,5,4,5,5,5,4,4.5,5,4.5,4.66666666666667,26.936,"09",1,6,3,6,5,2,5,6,5.6,5.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.234,16.593,3.14561672309128,2.86750109565691,3.68454507424638,2,1,1,NA,NA,NA,1,6,5,6,7,6,4,2,NA,NA,"2 Real symbols","1 strong policy","1 treatment","0 weak policy",0,"הרבה זיהום אוויר וחומרים מסוכנים ממפעלים באיזור","",0
"259","5.29.241.135",399303,2018-01-28 15:05:00,2018-01-28 15:14:00,9,1,1,4,3,5,5,5,4,1,1,NA,23,7,1,2,1,1,1,"1",1," Mobile_waste e    ",2,1,1,0,"B","E",3,"פתח תקווה  ","פתח תקווה","PETACH TIKVA",3,"פתח תקווה ",0,0,0,"Center",6,6,6,6,6,6,6,6,6,6,28.612,5,6,5,5,5,5,5.5,5,5,5.16666666666667,48.811,"009",1,1,4,5,3,4,4,4,3.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.286,39.6,3.67086822131208,3.70376806660769,4.36800377231031,1,1,0,NA,NA,NA,0,3,5,2,5,2,5,5,4,6,"1 fake symbols","1 strong policy","1 treatment","0 weak policy",0,"לא משהו מיוחד","",0.833333333333333
"260","2.53.59.66",196094,2018-01-28 15:07:00,2018-01-28 15:14:00,7,1,0,NA,NA,NA,4,5,6,0,0,NA,20,4,3,2,1,1,0,"1",1,"    waste b ",2,1,0,1,"E","B",1," נשר","נשר","NESHER",1,"נשר",1,0,1,"Haifa-Bay",3,5,2,2,4,6,4,2,5,3.66666666666667,26.054,4,5,3,5,7,4,4.5,4,5.5,4.66666666666667,31.442,"09",1,7,2,6,6,1,6,7,6.4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.473,17.113,3.31320370419152,2.89662991251078,3.79741990840339,1,0,1,NA,NA,NA,1,7,7,6,7,7,7,7,6,4,"1 fake symbols","0 weak policy","0 control","1 strong policy",0,"","החובה להתגייס",1
"261","89.139.119.181",379392,2018-01-28 15:09:00,2018-01-28 15:14:00,5,1,1,NA,NA,NA,2,2,6,0,0,1,27,5,4,1,0,1,0,"2",2,"Mobile_air a     ",1,2,1,0,"A","D",2," חיפה","חיפה","HAIFA",2,"חיפה",1,1,1,"Haifa-Bay",4,4,5,2,3,1,4,3.5,2,3.16666666666667,27.957,7,7,7,7,7,7,7,7,7,7,10.529,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,7,4,5,5,3,4,4,10.982,5.218,2.48340552366173,1.82744831163656,2.84490938381941,NA,NA,NA,0,1,0,0,7,3,1,7,1,7,5,NA,NA,"2 Real symbols","1 strong policy","0 control","0 weak policy",0,"","שכר",-3.83333333333333
