"","IP","USER_ID","START_DATE","END_DATE","TIMER_total","FINISHED","MOBILE","ENVIRONMENT_INTEREST","ENVIRONMENT_FOLLOW","ENVIRONMENT_PREFERENCE","GOV_EVALUATION","GOV_TRUST","IDEOLOGY","CHILDREN","CHILDREN_young","FACTORIES_relatives","AGE","EDUCATION","INCOME","HOME","GENDER","HEBREW","RELEVANCE_exp","SYMBOL","SYMBOL_bi","t1","AIR_order","WASTE_order","INFORMATION_air","INFORMATION_waste","CONDITION_air","CONDITION_waste","AREA_reside","CITY_reside_raw","CITY_reside_he","CITY_reside_en","AREA_work","CITY_reside_youth","AREA_reside_haifa","AREA_work_haifa","AREA","AREA_names","TRUST_air_q1","TRUST_air_q2","TRUST_air_q3","TRUST_air_q4","TRUST_air_q5","TRUST_air_q6","TRUST_air_competence","TRUST_air_benevolence","TRUST_air_integrity","TRUST_air_INDEX","TRUST_air_timer","TRUST_waste_q1","TRUST_waste_q2","TRUST_waste_q3","TRUST_waste_q4","TRUST_waste_q5","TRUST_waste_q6","TRUST_waste_competence","TRUST_waste_benevolence","TRUST_waste_integrity","TRUST_waste_INDEX","TRUST_waste_timer","IMC_item","IMC","ELABORATION_air_q1","ELABORATION_air_q2","ELABORATION_air_q3","ELABORATION_air_q4","ELABORATION_air_q5","ELABORATION_air_q2.r","ELABORATION_air_q5.r","ELABORATION_air_INDEX","ELABORATION_air_INDEX_01","ELABORATION_waste_q1","ELABORATION_waste_q2","ELABORATION_waste_q3","ELABORATION_waste_q4","ELABORATION_waste_q5","ELABORATION_waste_q2.r","ELABORATION_waste_q5.r","ELABORATION_waste_INDEX","ELABORATION_waste_INDEX_01","ELABORATION_air_time","ELABORATION_waste_time","ELABORATION_air_time_log","ELABORATION_waste_time_log","ELABORATION_total_time_log","MEMORY_air_correct","MEMORY_air_incorrect","MEMORY_air_score","MEMORY_waste_correct","MEMORY_waste_incorrect","MEMORY_waste_score","MEMORY_total","RELEVANCE_air_obs","RELEVANCE_waste_obs","RECOGNIZE_waste_real","RECOGNIZE_air_real","RECOGNIZE_SVIVA_logo","AFFECT_waste_real","AFFECT_air_real","AFFECT_waste_fake","AFFECT_air_fake","SYMBOL_n","INFORMATION_air_n","RELEVANCE_exp_n","INFORMATION_waste_n","REPETITION_elaboration","RELEVANCE_exp_treat_text","RELEVANCE_exp_control_text","WITHIN_DELTA"
"11","192.114.23.208",288732,2018-01-28 14:03:00,2018-01-28 14:09:00,6,1,1,5,4,7,4,4,3,0,0,NA,25,6,1,2,1,1,1,"0",1,"  Mobile_air f   ",1,2,0,1,"F","C",3,"פתח תקווה ","פתח תקווה","PETACH TIKVA",4,"קרני שומרון",0,0,0,"Center",3,2,2,2,1,1,2.5,2,1,1.83333333333333,22.211,7,6,5,7,7,6,6.5,6,6.5,6.33333333333333,13.593,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,5,4,3,3.2,2.75,24.083,7.411,3.22219032583603,2.1295403729803,3.48105545690756,NA,NA,NA,2,1,1,1,1,6,2,5,7,4,4,NA,NA,"0 no symbols","0 weak policy","1 treatment","1 strong policy",0,"מחזור","",4.5
"12","79.182.69.73",391094,2018-01-28 14:04:00,2018-01-28 14:10:00,6,1,1,NA,NA,NA,5,6,4,0,0,NA,18,2,3,2,1,1,0,"2",2,"Mobile_waste a     ",2,1,0,1,"D","A",3," פ״ת","פתח תקווה","PETACH TIKVA",3,"פ״ת",0,0,0,"Center",5,5,6,6,5,4,5,6,4.5,5.16666666666667,26.67,4,5,6,6,5,4,4.5,6,4.5,5,32.144,"009",1,1,4,5,3,4,4,4,3.4,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.289,3.545,1.19058356720692,1.51402772762944,1.9219101536931,0,0,0,NA,NA,NA,0,3,6,1,3,1,5,5,NA,NA,"2 Real symbols","0 weak policy","0 control","1 strong policy",0,"","כלום",-0.166666666666667
"13","141.226.88.60",374644,2018-01-28 14:04:00,2018-01-28 14:10:00,6,1,1,NA,NA,NA,1,3,5,1,1,NA,30,3,1,1,1,1,0,"2",2,"Mobile_air a     ",1,2,1,0,"A","D",3," נתניה","נתניה","NATANIA",3,"נתניה",0,0,0,"Center",7,7,7,7,7,7,7,7,7,7,25.469,6,5,4,5,5,5,5.5,4.5,5,5,10.411,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,1,6,6,1,2,2.2,1.25,3.96,5.962,1.60140574073684,1.94046678938925,2.39077910372996,NA,NA,NA,2,1,1,1,1,7,7,7,7,7,7,NA,NA,"2 Real symbols","1 strong policy","0 control","0 weak policy",0,"","שכר טוב",2
"14","2.53.49.120",354789,2018-01-28 14:03:00,2018-01-28 14:10:00,7,1,1,5,3,4,4,4,3,1,1,NA,35,7,3,2,0,1,1,"2",2,"Mobile_waste a     ",2,1,0,1,"D","A",3,"נתניה ","נתניה","NATANIA",3,"נתניה",0,0,0,"Center",3,3,1,2,2,2,3,1.5,2,2.16666666666667,21.677,5,6,4,4,3,3,5.5,4,3,4.16666666666667,34.209,"009",1,1,5,2,4,5,3,3,2.6,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.935,19.448,3.25559340780336,3.01788507819512,3.81513758558444,1,1,0,NA,NA,NA,0,1,5,1,1,1,6,4,NA,NA,"2 Real symbols","0 weak policy","1 treatment","1 strong policy",0,"מיחזור ואשפה","",2
"15","141.226.179.212",414067,2018-01-28 14:02:00,2018-01-28 14:10:00,8,1,1,4,4,6,4,4,4,0,0,NA,25,7,4,2,1,1,1,"0",1,"  Mobile_waste f   ",2,1,1,0,"C","F",3,"ראשון לציון ","ראשון לציון","RISHON LEZION",8,"ראשון לציון",0,0,0,"Center",5,5,6,6,5,5,5,6,5,5.33333333333333,30.106,3,3,3,3,3,5,3,3,4,3.33333333333333,43.138,"009",1,1,7,1,6,6,1,2,2.2,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.18,41.751,3.09919098192222,3.75539258692205,4.15780437676486,1,0,1,NA,NA,NA,1,5,5,1,2,1,6,4,NA,NA,"0 no symbols","1 strong policy","1 treatment","0 weak policy",0,"ניקוז מי גשמים","",2
"16","207.232.18.234",134858,2018-01-28 14:03:00,2018-01-28 14:10:00,7,1,1,NA,NA,NA,3,3,6,1,1,NA,43,6,4,1,0,1,0,"2",2,"Mobile_waste d     ",2,1,1,0,"A","D",3," ראשון לציון","ראשון לציון","RISHON LEZION",3,"תל אביב",0,0,0,"Center",5,5,4,4,5,4,5,4,4.5,4.5,19.165,5,4,5,4,4,4,4.5,4.5,4,4.33333333333333,37.756,"009",1,1,6,2,5,6,2,2,2.4,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.035,39.806,3.04618771704248,3.70882912942156,4.10826390381091,2,0,2,NA,NA,NA,2,3,6,6,5,1,6,5,NA,NA,"2 Real symbols","1 strong policy","0 control","0 weak policy",0,"","תנאי עבודה ",0.166666666666667
"17","2.53.38.15",424446,2018-01-28 14:04:00,2018-01-28 14:10:00,6,1,1,4,3,5,4,3,2,0,0,NA,18,4,1,2,1,1,1,"1",1," Mobile_air e    ",1,2,0,1,"E","B",3,"פתח תקוה ","פתח תקווה","PETACH TIKVA",1,"פתח תקוה",0,0,0,"Center",3,5,4,5,5,4,4,4.5,4.5,4.33333333333333,25.344,4,5,5,5,5,5,4.5,5,5,4.83333333333333,26.798,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,3,6,6,3,2,3,2.25,42.143,24.852,3.76452017957235,3.25238796740065,4.21943417306092,NA,NA,NA,1,0,1,1,3,5,3,3,5,4,4,4,3,"1 fake symbols","0 weak policy","1 treatment","1 strong policy",0,"אין בעיה","",0.5
"18","212.179.121.186",396465,2018-01-28 14:06:00,2018-01-28 14:11:00,5,1,1,NA,NA,NA,1,1,3,1,1,NA,29,7,1,2,1,1,0,"0",1,"  Mobile_air c   ",1,2,1,0,"C","F",3," פתח תקווה","פתח תקווה","PETACH TIKVA",4,"פתח תקווה",0,0,0,"Center",5,7,4,6,6,4,6,5,5,5.33333333333333,26.182,1,2,1,1,2,1,1.5,1,1.5,1.33333333333333,22.516,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,6,6,7,1,1,3,2.25,21.778,17.253,3.12579515785216,2.90432945008065,3.68965415395651,NA,NA,NA,1,0,1,1,1,1,1,3,1,4,4,NA,NA,"0 no symbols","1 strong policy","0 control","0 weak policy",0,"","תחרות ",4
"19","37.26.148.215",38663,2018-01-28 14:06:00,2018-01-28 14:11:00,5,1,1,NA,NA,NA,3,3,6,0,0,NA,33,7,5,2,0,1,0,"2",2,"Mobile_waste d     ",2,1,1,0,"A","D",3," ראשון לציון","ראשון לציון","RISHON LEZION",3,"פתח תקווה",0,0,0,"Center",6,5,2,2,5,3,5.5,2,4,3.83333333333333,19.173,3,5,2,3,5,5,4,2.5,5,3.83333333333333,30.601,"009",1,1,6,2,4,6,2,2,2.2,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.172,26.349,2.84328015036231,3.30867996512825,3.77324358022487,2,0,2,NA,NA,NA,2,1,2,5,5,6,6,7,NA,NA,"2 Real symbols","1 strong policy","0 control","0 weak policy",0,"","בעיקר כסף",0
"20","84.94.161.133",347733,2018-01-28 14:04:00,2018-01-28 14:11:00,7,1,1,NA,NA,NA,5,3,4,1,1,NA,43,5,3,1,1,1,0,"0",1,"  Mobile_air f   ",1,2,0,1,"F","C",3," נתניה","נתניה","NATANIA",3,"נתניה ",0,0,0,"Center",5,5,5,5,5,5,5,5,5,5,33.586,5,5,5,5,5,5,5,5,5,5,6.749,"009",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,4,4,4,4,3,2.75,5.974,5.969,1.94218894825346,1.94147174245638,2.5605551014603,NA,NA,NA,0,0,0,0,3,4,6,5,6,5,4,NA,NA,"0 no symbols","0 weak policy","0 control","1 strong policy",0,"","לא יודעת",0
