,IP,START_DATE,END_DATE,FINISHED,TIME_total,RANDOM,CITY_text,AGE,INCOME,EDUCATION,GENDER,CITY_he,CITY_en,ORDER_1,ORDER_2,ORDER_3,ORDER_4,ORDER_waste_real,ORDER_waste_fake,ORDER_air_real,ORDER_air_fake,waste_real_THOUGHT,waste_real_RT,waste_real_positive_affect,waste_real_negative_affect,waste_real_image_funny,waste_real_image_weird,waste_real_person_familiar,waste_real_person_funny,waste_real_person_attractive,waste_real_ad_familiar,waste_fake_THOUGHT,waste_fake_RT,waste_fake_positive_affect,waste_fake_negative_affect,waste_fake_image_funny,waste_fake_image_weird,waste_fake_person_familiar,waste_fake_person_funny,waste_fake_person_attractive,waste_fake_ad_familiar,air_real_THOUGHT,air_real_RT,air_real_positive_affect,air_real_negative_affect,air_real_image_funny,air_real_image_weird,air_real_person_familiar,air_real_person_funny,air_real_person_attractive,air_real_ad_familiar,air_fake_THOUGHT,air_fake_RT,air_fake_positive_affect,air_fake_negative_affect,air_fake_image_funny,air_fake_image_weird,air_fake_person_familiar,air_fake_person_funny,air_fake_person_attractive,air_fake_ad_familiar
97,,1/22/2018 14:33,1/22/2018 14:36,0,180,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,סל ירוק,15.401,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ראש דשא,16.205,6,2,7,6,5,5,3,7,אמאלה,6.031,2,5,2,5,4,2,4,3
98,,1/22/2018 14:34,1/22/2018 14:35,0,60,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,מחזור,4.293,NA,NA,NA,NA,NA,NA,NA,NA,מחזור,9.176,3,2,2,5,1,1,3,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,,1/22/2018 15:20,1/22/2018 15:21,0,60,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,מצחיק,11.951,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,,1/22/2018 15:42,1/22/2018 15:43,0,60,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,,1/22/2018 15:51,1/22/2018 15:54,0,180,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,לקנות ירוק,12.828,7,1,5,1,7,7,6,7,,NA,NA,NA,NA,NA,NA,NA,NA,NA,ירוק,9.965,NA,NA,NA,NA,NA,NA,NA,NA,דיור חכם,12.429,7,1,6,5,1,4,5,1
102,,1/22/2018 15:58,1/22/2018 16:08,0,600,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,,1/22/2018 16:23,1/22/2018 16:23,0,0,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,,1/22/2018 16:48,1/22/2018 16:49,0,60,NA,,NA,NA,NA,NA,NA,NA,NA,,,,NA,NA,NA,NA,מה יש בדביל הזה שאין בי ???,35.727,3,6,1,1,7,1,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,חחחחחחחחחחחח,7.692,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,,1/22/2018 17:27,1/22/2018 17:31,0,240,NA,נהריה,29,3,7,1,נהריה,NA,NA,,,,NA,NA,NA,NA,פרסומת לסופר,11.974,7,1,4,7,7,5,7,1,קניות,10.864,7,1,4,7,1,1,1,2,צחוק,7.312,7,1,7,7,7,7,5,2,מדובר היועץ משכנתא,14.508,4,4,3,5,1,1,1,1
106,,1/22/2018 19:43,1/22/2018 19:47,0,240,NA,חולון,57,4,7,1,חולון,NA,NA,,,,NA,NA,NA,NA,הסל הירוק מיחזור / ,27.213,6,1,6,1,7,5,6,1,מי זה?,14.54,4,1,1,1,1,1,4,1,שטותניק,15.314,3,1,5,7,7,4,4,7,בית,15.613,4,4,4,3,1,1,3,1
107,,1/22/2018 20:32,1/22/2018 20:33,0,60,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,קניות,8.363,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,,1/23/2018 2:22,1/23/2018 2:23,0,60,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,,1/23/2018 2:29,1/23/2018 2:30,0,60,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,אדם מאושר ,17.226,4,4,3,6,1,2,1,1
110,,1/23/2018 9:43,1/23/2018 9:46,0,180,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,סל רב שימושי,32.251,7,1,1,1,1,1,5,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,,1/23/2018 11:26,1/23/2018 11:37,0,660,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,"חיסכון בשקית נילון ע""י שימוש בשקיות מבד",395.267,1,1,3,3,7,5,6,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,דשא ירוק,51.646,6,1,7,4,7,7,3,3,"נדלן, איש עסקים",38.963,5,2,5,6,1,4,1,1
112,,1/23/2018 11:30,1/23/2018 11:33,0,180,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,קניות,21.708,2,4,1,2,1,1,1,1,,NA,NA,NA,NA,NA,NA,NA,NA,NA,שמחה,9.437,3,3,4,5,1,1,1,1
113,,1/23/2018 11:46,1/23/2018 11:46,0,0,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,,1/23/2018 12:08,1/23/2018 12:10,0,120,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,להשתמש בשקיות רב פעמיות,22.112,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,,1/23/2018 12:45,1/23/2018 12:46,0,60,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,גג?,13.078,NA,NA,NA,NA,NA,NA,NA,NA
116,,1/23/2018 13:07,1/23/2018 13:07,0,0,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,,1/23/2018 15:01,1/23/2018 15:03,0,120,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,בית מגן על הבחור בתמונה,26.838,NA,NA,NA,NA,NA,NA,NA,NA
118,,1/23/2018 15:02,1/23/2018 15:02,0,0,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,בנק משכנתאות,12.433,NA,NA,NA,NA,NA,NA,NA,NA
119,,1/23/2018 15:03,1/23/2018 15:10,0,420,NA,ראש העין,52,5,8,1,ראש העין,,NA,,,,NA,NA,NA,NA,"איכות סביבה, רב פעמי, לא לניילון",15.338,7,1,2,2,4,3,7,1,"לא ברור, פרסומת כלשהיא",21.792,3,3,1,1,1,1,4,1,"ירוק. איכות סביבה, נחמד מאוד, הומור",25.23,6,1,7,7,7,7,2,1,"סוכן נדלן, מתווך",15.098,2,4,3,6,1,2,6,1
120,,1/23/2018 15:05,1/23/2018 15:08,0,180,NA,,NA,NA,NA,NA,,,NA,,,,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,אדם שנוי במחלוקת,16.518,NA,NA,NA,NA,NA,NA,NA,NA,קירח,8.578,1,4,2,2,2,1,1,1
121,,1/23/2018 15:23,1/23/2018 15:27,0,240,NA,חולון,46,4,7,1,חולון,,NA,,,,NA,NA,NA,NA,קניות,6.412,3,3,3,3,1,3,3,1,קניות,7.794,3,3,2,2,2,4,3,1,ראש דשא,7.491,3,1,7,5,7,7,5,1,דיור,6.336,3,3,3,3,1,3,3,1
